collected_for_day,app,new_accounts_count
2021-04-28,galaxy-online,5
2021-04-28,berry-club,38
2021-04-28,berry-cards,3
2021-04-29,galaxy-online,4
2021-04-29,berry-club,11
2021-04-29,pixel-party,6
2021-04-29,near-crowd,33
2021-04-29,near-bet,6
2021-04-29,berry-cards,5
2021-04-30,pixel-party,13
2021-04-30,near-bet,9
2021-04-30,near-crowd,39
2021-04-30,berry-club,26
2021-04-30,berry-cards,5
2021-04-30,galaxy-online,7
2021-05-01,galaxy-online,8
2021-05-01,pixel-party,4
2021-05-01,berry-club,56
2021-05-01,berry-cards,9
2021-05-01,near-crowd,20
2021-05-01,near-bet,8
2021-05-02,berry-club,38
2021-05-02,near-crowd,21
2021-05-02,pixel-party,10
2021-05-02,near-bet,2
2021-05-02,galaxy-online,2
2021-05-02,berry-cards,3
2021-05-03,near-crowd,23
2021-05-03,berry-cards,4
2021-05-03,berry-club,27
2021-05-03,pixel-party,15
2021-05-03,galaxy-online,1
2021-05-03,near-bet,2
2021-05-04,near-crowd,20
2021-05-04,berry-club,16
2021-05-04,berry-cards,2
2021-05-04,galaxy-online,2
2021-05-04,pixel-party,23
2021-05-04,near-bet,7
2021-05-05,berry-club,46
2021-05-05,near-crowd,24
2021-05-05,near-bet,49
2021-05-05,galaxy-online,5
2021-05-05,berry-cards,8
2021-05-05,pixel-party,14
2021-05-06,berry-club,26
2021-05-06,near-crowd,33
2021-05-06,pixel-party,6
2021-05-06,galaxy-online,3
2021-05-06,berry-cards,6
2021-05-06,near-bet,10
2021-05-07,galaxy-online,5
2021-05-07,pixel-party,5
2021-05-07,berry-club,17
2021-05-07,near-crowd,19
2021-05-07,berry-cards,3
2021-05-07,near-bet,6
2021-05-08,near-bet,5
2021-05-08,berry-cards,2
2021-05-08,pixel-party,12
2021-05-08,ref-finance,1
2021-05-08,galaxy-online,2
2021-05-08,berry-club,11
2021-05-08,near-crowd,23
2021-05-09,near-bet,5
2021-05-09,pixel-party,6
2021-05-09,galaxy-online,5
2021-05-09,ref-finance,1
2021-05-09,berry-cards,2
2021-05-09,berry-club,14
2021-05-09,near-crowd,22
2021-05-10,pixel-party,5
2021-05-10,galaxy-online,1
2021-05-10,near-bet,4
2021-05-10,berry-cards,4
2021-05-10,ref-finance,72
2021-05-10,near-crowd,29
2021-05-10,berry-club,17
2021-05-11,ref-finance,1
2021-05-11,berry-cards,3
2021-05-11,pixel-party,2
2021-05-11,near-crowd,17
2021-05-11,galaxy-online,5
2021-05-11,berry-club,23
2021-05-11,near-bet,6
2021-05-12,pixel-party,12
2021-05-12,near-bet,5
2021-05-12,ref-finance,3
2021-05-12,near-crowd,36
2021-05-12,berry-cards,5
2021-05-12,galaxy-online,5
2021-05-12,berry-club,16
2021-05-13,berry-club,18
2021-05-13,near-bet,9
2021-05-13,pixel-party,6
2021-05-13,near-crowd,48
2021-05-13,berry-cards,3
2021-05-14,berry-club,28
2021-05-14,ref-finance,1
2021-05-14,near-bet,4
2021-05-14,berry-cards,3
2021-05-14,near-crowd,39
2021-05-14,galaxy-online,11
2021-05-14,3d-corgis,6
2021-05-14,pixel-party,13
2021-05-15,berry-club,108
2021-05-15,near-bet,16
2021-05-15,berry-cards,15
2021-05-15,galaxy-online,14
2021-05-15,pixel-party,17
2021-05-15,near-crowd,39
2021-05-15,ref-finance,5
2021-05-15,3d-corgis,33
2021-05-16,berry-club,24
2021-05-16,near-crowd,16
2021-05-16,3d-corgis,22
2021-05-16,berry-cards,5
2021-05-16,pixel-party,6
2021-05-16,galaxy-online,2
2021-05-16,ref-finance,1
2021-05-16,near-bet,6
2021-05-17,near-crowd,26
2021-05-17,near-bet,6
2021-05-17,pixel-party,4
2021-05-17,3d-corgis,4
2021-05-17,berry-club,35
2021-05-17,galaxy-online,5
2021-05-17,berry-cards,3
2021-05-18,galaxy-online,4
2021-05-18,berry-club,25
2021-05-18,berry-cards,2
2021-05-18,near-bet,13
2021-05-18,ref-finance,1
2021-05-18,near-crowd,33
2021-05-18,3d-corgis,2
2021-05-18,pixel-party,14
2021-05-19,3d-corgis,3
2021-05-19,berry-club,37
2021-05-19,near-bet,4
2021-05-19,near-crowd,36
2021-05-19,galaxy-online,8
2021-05-19,pixel-party,8
2021-05-19,berry-cards,7
2021-05-20,ref-finance,6
2021-05-20,near-bet,4
2021-05-20,berry-cards,5
2021-05-20,3d-corgis,1
2021-05-20,near-crowd,27
2021-05-20,berry-club,36
2021-05-20,pixel-party,10
2021-05-20,galaxy-online,23
2021-05-21,near-crowd,37
2021-05-21,galaxy-online,7
2021-05-21,pixel-party,5
2021-05-21,near-bet,10
2021-05-21,ref-finance,2
2021-05-21,berry-cards,8
2021-05-21,berry-club,47
2021-05-21,3d-corgis,3
2021-05-22,3d-corgis,1
2021-05-22,near-bet,1
2021-05-22,berry-cards,19
2021-05-22,berry-club,35
2021-05-22,pixel-party,4
2021-05-22,ref-finance,1
2021-05-22,near-crowd,23
2021-05-22,galaxy-online,6
2021-05-23,3d-corgis,2
2021-05-23,galaxy-online,20
2021-05-23,near-bet,2
2021-05-23,berry-club,15
2021-05-23,pixel-party,2
2021-05-23,berry-cards,2
2021-05-23,near-crowd,15
2021-05-24,galaxy-online,32
2021-05-24,berry-cards,2
2021-05-24,pixel-party,4
2021-05-24,berry-club,12
2021-05-24,near-bet,3
2021-05-24,near-crowd,34
2021-05-25,galaxy-online,10
2021-05-25,berry-club,8
2021-05-25,near-crowd,31
2021-05-25,pixel-party,1
2021-05-25,near-bet,4
2021-05-25,berry-cards,1
2021-05-25,3d-corgis,4
2021-05-25,ref-finance,3
2021-05-26,pixel-party,3
2021-05-26,near-bet,3
2021-05-26,galaxy-online,6
2021-05-26,3d-corgis,3
2021-05-26,berry-club,62
2021-05-26,ref-finance,7
2021-05-26,berry-cards,8
2021-05-26,near-crowd,34
2021-05-27,pixel-party,4
2021-05-27,3d-corgis,4
2021-05-27,near-crowd,28
2021-05-27,berry-cards,5
2021-05-27,near-bet,2
2021-05-27,ref-finance,1
2021-05-27,berry-club,27
2021-05-27,galaxy-online,16
2021-05-28,near-crowd,31
2021-05-28,galaxy-online,7
2021-05-28,berry-club,14
2021-05-28,near-bet,5
2021-05-28,pixel-party,5
2021-05-28,3d-corgis,3
2021-05-28,berry-cards,2
2021-05-29,pixel-party,1
2021-05-29,near-bet,3
2021-05-29,near-crowd,20
2021-05-29,berry-club,16
2021-05-29,3d-corgis,6
2021-05-29,galaxy-online,7
2021-05-29,ref-finance,14
2021-05-29,berry-cards,4
2021-05-30,berry-cards,2
2021-05-30,3d-corgis,4
2021-05-30,pixel-party,6
2021-05-30,near-bet,3
2021-05-30,ref-finance,10
2021-05-30,near-crowd,27
2021-05-30,berry-club,20
2021-05-30,galaxy-online,7
2021-05-31,near-bet,2
2021-05-31,berry-cards,5
2021-05-31,3d-corgis,5
2021-05-31,ref-finance,6
2021-05-31,near-crowd,35
2021-05-31,galaxy-online,7
2021-05-31,pixel-party,4
2021-05-31,berry-club,54
2021-06-01,near-crowd,28
2021-06-01,pixel-party,6
2021-06-01,berry-club,29
2021-06-01,berry-cards,3
2021-06-01,near-bet,2
2021-06-01,galaxy-online,5
2021-06-01,3d-corgis,1
2021-06-02,near-crowd,71
2021-06-02,berry-cards,4
2021-06-02,3d-corgis,1
2021-06-02,near-bet,15
2021-06-02,pixel-party,15
2021-06-02,ref-finance,68
2021-06-02,berry-club,56
2021-06-02,galaxy-online,43
2021-06-03,ref-finance,644
2021-06-03,berry-cards,5
2021-06-03,berry-club,26
2021-06-03,near-crowd,78
2021-06-03,galaxy-online,31
2021-06-03,pixel-party,7
2021-06-03,near-bet,14
2021-06-03,3d-corgis,1
2021-06-04,berry-club,33
2021-06-04,3d-corgis,2
2021-06-04,near-crowd,86
2021-06-04,galaxy-online,11
2021-06-04,near-bet,4
2021-06-04,pixel-party,9
2021-06-04,berry-cards,4
2021-06-04,ref-finance,269
2021-06-05,ref-finance,760
2021-06-05,near-bet,8
2021-06-05,berry-club,53
2021-06-05,near-crowd,33
2021-06-05,pixel-party,13
2021-06-05,berry-cards,7
2021-06-05,3d-corgis,3
2021-06-05,galaxy-online,6
2021-06-06,ref-finance,521
2021-06-06,berry-cards,5
2021-06-06,pixel-party,10
2021-06-06,3d-corgis,1
2021-06-06,near-crowd,39
2021-06-06,berry-club,39
2021-06-06,near-bet,4
2021-06-06,galaxy-online,6
2021-06-07,galaxy-online,9
2021-06-07,3d-corgis,3
2021-06-07,near-crowd,47
2021-06-07,near-bet,13
2021-06-07,ref-finance,398
2021-06-07,pixel-party,4
2021-06-07,berry-cards,4
2021-06-07,berry-club,15
2021-06-08,ref-finance,248
2021-06-08,pixel-party,2
2021-06-08,berry-cards,1
2021-06-08,berry-club,33
2021-06-08,3d-corgis,4
2021-06-08,near-bet,4
2021-06-08,near-crowd,37
2021-06-08,galaxy-online,83
2021-06-09,berry-club,17
2021-06-09,berry-cards,3
2021-06-09,3d-corgis,3
2021-06-09,pixel-party,4
2021-06-09,near-crowd,49
2021-06-09,galaxy-online,34
2021-06-09,near-bet,4
2021-06-09,ref-finance,266
2021-06-10,near-bet,9
2021-06-10,galaxy-online,23
2021-06-10,near-crowd,23
2021-06-10,pixel-party,2
2021-06-10,berry-club,10
2021-06-10,3d-corgis,1
2021-06-10,ref-finance,268
2021-06-11,near-bet,1
2021-06-11,pixel-party,1
2021-06-11,berry-club,13
2021-06-11,ref-finance,245
2021-06-11,near-crowd,51
2021-06-11,berry-cards,3
2021-06-11,galaxy-online,57
2021-06-12,berry-club,23
2021-06-12,berry-cards,3
2021-06-12,metamon,27
2021-06-12,near-crowd,43
2021-06-12,galaxy-online,105
2021-06-12,ref-finance,534
2021-06-12,pixel-party,6
2021-06-12,near-bet,5
2021-06-13,berry-cards,5
2021-06-13,galaxy-online,52
2021-06-13,metamon,27
2021-06-13,berry-club,36
2021-06-13,ref-finance,519
2021-06-13,pixel-party,11
2021-06-13,near-bet,6
2021-06-13,near-crowd,49
2021-06-13,3d-corgis,1
2021-06-14,galaxy-online,52
2021-06-14,pixel-party,4
2021-06-14,metamon,6
2021-06-14,near-bet,1
2021-06-14,near-crowd,71
2021-06-14,berry-cards,4
2021-06-14,3d-corgis,1
2021-06-14,ref-finance,200
2021-06-14,berry-club,44
2021-06-15,3d-corgis,4
2021-06-15,berry-cards,3
2021-06-15,galaxy-online,36
2021-06-15,berry-club,23
2021-06-15,ref-finance,225
2021-06-15,near-crowd,64
2021-06-15,metamon,14
2021-06-15,pixel-party,4
2021-06-15,near-bet,6
2021-06-16,pixel-party,5
2021-06-16,galaxy-online,25
2021-06-16,ref-finance,161
2021-06-16,near-crowd,53
2021-06-16,metamon,7
2021-06-16,near-bet,5
2021-06-16,berry-club,37
2021-06-16,berry-cards,3
2021-06-16,3d-corgis,1
2021-06-17,berry-club,25
2021-06-17,ref-finance,162
2021-06-17,near-crowd,61
2021-06-17,3d-corgis,1
2021-06-17,metamon,5
2021-06-17,galaxy-online,25
2021-06-17,near-bet,3
2021-06-17,pixel-party,3
2021-06-17,berry-cards,3
2021-06-18,galaxy-online,13
2021-06-18,ref-finance,110
2021-06-18,near-bet,1
2021-06-18,metamon,4
2021-06-18,berry-cards,1
2021-06-18,near-crowd,49
2021-06-18,pixel-party,12
2021-06-18,berry-club,58
2021-06-19,3d-corgis,3
2021-06-19,metamon,28
2021-06-19,galaxy-online,10
2021-06-19,pixel-party,4
2021-06-19,nft-hiphop,47
2021-06-19,berry-cards,5
2021-06-19,near-crowd,102
2021-06-19,ref-finance,161
2021-06-19,near-bet,8
2021-06-19,berry-club,23
2021-06-20,galaxy-online,14
2021-06-20,metamon,12
2021-06-20,near-bet,6
2021-06-20,near-crowd,56
2021-06-20,ref-finance,142
2021-06-20,pixel-party,6
2021-06-20,3d-corgis,2
2021-06-20,berry-cards,5
2021-06-20,nft-hiphop,44
2021-06-20,berry-club,13
2021-06-21,near-crowd,53
2021-06-21,berry-cards,3
2021-06-21,galaxy-online,11
2021-06-21,ref-finance,119
2021-06-21,nft-hiphop,39
2021-06-21,metamon,12
2021-06-21,3d-corgis,3
2021-06-21,near-bet,2
2021-06-21,berry-club,17
2021-06-21,pixel-party,4
2021-06-22,metamon,6
2021-06-22,ref-finance,229
2021-06-22,berry-cards,2
2021-06-22,near-crowd,52
2021-06-22,pixel-party,3
2021-06-22,3d-corgis,2
2021-06-22,near-bet,4
2021-06-22,galaxy-online,15
2021-06-22,nft-hiphop,20
2021-06-22,berry-club,12
2021-06-23,galaxy-online,4
2021-06-23,near-crowd,47
2021-06-23,near-bet,2
2021-06-23,skyward-finance,10
2021-06-23,ref-finance,115
2021-06-23,berry-club,31
2021-06-23,pixel-party,4
2021-06-23,metamon,12
2021-06-23,berry-cards,3
2021-06-23,nft-hiphop,14
2021-06-24,berry-club,86
2021-06-24,near-bet,2
2021-06-24,pixel-party,1
2021-06-24,3d-corgis,3
2021-06-24,metamon,8
2021-06-24,skyward-finance,1140
2021-06-24,nft-hiphop,7
2021-06-24,galaxy-online,9
2021-06-24,ref-finance,80
2021-06-24,near-crowd,43
2021-06-25,pixel-party,3
2021-06-25,galaxy-online,6
2021-06-25,skyward-finance,200
2021-06-25,3d-corgis,1
2021-06-25,metamon,4
2021-06-25,near-bet,1
2021-06-25,nft-hiphop,5
2021-06-25,ref-finance,68
2021-06-25,berry-club,22
2021-06-25,near-crowd,28
2021-06-26,3d-corgis,1
2021-06-26,metamon,3
2021-06-26,galaxy-online,6
2021-06-26,pixel-party,2
2021-06-26,berry-club,36
2021-06-26,skyward-finance,84
2021-06-26,near-crowd,31
2021-06-26,nft-hiphop,5
2021-06-26,ref-finance,63
2021-06-27,berry-cards,5
2021-06-27,skyward-finance,72
2021-06-27,berry-club,56
2021-06-27,ref-finance,141
2021-06-27,pixel-party,2
2021-06-27,near-crowd,66
2021-06-27,3d-corgis,3
2021-06-27,galaxy-online,8
2021-06-27,metamon,8
2021-06-28,metamon,4
2021-06-28,near-crowd,55
2021-06-28,skyward-finance,103
2021-06-28,berry-cards,4
2021-06-28,galaxy-online,3
2021-06-28,near-bet,4
2021-06-28,nft-hiphop,6
2021-06-28,pixel-party,5
2021-06-28,berry-club,18
2021-06-28,ref-finance,101
2021-06-29,near-bet,2
2021-06-29,metamon,4
2021-06-29,skyward-finance,311
2021-06-29,nft-hiphop,1
2021-06-29,3d-corgis,1
2021-06-29,pixel-party,4
2021-06-29,ref-finance,114
2021-06-29,berry-club,22
2021-06-29,galaxy-online,3
2021-06-29,near-crowd,50
2021-06-29,berry-cards,3
2021-06-30,skyward-finance,451
2021-06-30,ref-finance,172
2021-06-30,pixel-party,4
2021-06-30,near-bet,2
2021-06-30,3d-corgis,5
2021-06-30,berry-club,33
2021-06-30,berry-cards,3
2021-06-30,metamon,4
2021-06-30,nft-hiphop,2
2021-06-30,galaxy-online,5
2021-06-30,near-crowd,46
2021-07-01,skyward-finance,374
2021-07-01,ref-finance,219
2021-07-01,pixel-party,6
2021-07-01,galaxy-online,2
2021-07-01,3d-corgis,3
2021-07-01,nft-hiphop,1
2021-07-01,berry-club,6
2021-07-01,near-bet,1
2021-07-01,metamon,3
2021-07-01,near-crowd,38
2021-07-01,berry-cards,1
2021-07-02,skyward-finance,173
2021-07-02,nft-hiphop,2
2021-07-02,berry-club,9
2021-07-02,berry-cards,1
2021-07-02,3d-corgis,1
2021-07-02,near-crowd,61
2021-07-02,metamon,3
2021-07-02,ref-finance,269
2021-07-02,galaxy-online,4
2021-07-02,pixel-party,6
2021-07-03,near-crowd,56
2021-07-03,pixel-party,1
2021-07-03,galaxy-online,4
2021-07-03,near-bet,2
2021-07-03,berry-cards,3
2021-07-03,ref-finance,240
2021-07-03,skyward-finance,210
2021-07-03,metamon,3
2021-07-03,berry-club,10
2021-07-03,nft-hiphop,2
2021-07-04,galaxy-online,6
2021-07-04,berry-cards,2
2021-07-04,near-bet,3
2021-07-04,ref-finance,183
2021-07-04,nft-hiphop,4
2021-07-04,near-crowd,46
2021-07-04,metamon,3
2021-07-04,berry-club,10
2021-07-04,skyward-finance,205
2021-07-05,near-bet,3
2021-07-05,near-crowd,53
2021-07-05,skyward-finance,109
2021-07-05,metamon,9
2021-07-05,berry-club,11
2021-07-05,nft-hiphop,2
2021-07-05,3d-corgis,3
2021-07-05,pixel-party,1
2021-07-05,ref-finance,179
2021-07-05,galaxy-online,9
2021-07-06,berry-club,46
2021-07-06,near-bet,3
2021-07-06,3d-corgis,3
2021-07-06,skyward-finance,68
2021-07-06,ref-finance,289
2021-07-06,near-crowd,47
2021-07-06,pixel-party,2
2021-07-06,nft-hiphop,38
2021-07-06,galaxy-online,4
2021-07-06,berry-cards,2
2021-07-07,berry-club,28
2021-07-07,near-crowd,65
2021-07-07,near-bet,2
2021-07-07,metamon,5
2021-07-07,berry-cards,1
2021-07-07,3d-corgis,1
2021-07-07,galaxy-online,5
2021-07-07,nft-hiphop,6
2021-07-07,ref-finance,170
2021-07-07,skyward-finance,88
2021-07-08,skyward-finance,81
2021-07-08,berry-club,18
2021-07-08,galaxy-online,1
2021-07-08,3d-corgis,2
2021-07-08,metamon,5
2021-07-08,pixel-party,3
2021-07-08,berry-cards,7
2021-07-08,near-crowd,66
2021-07-08,ref-finance,451
2021-07-08,nft-hiphop,31
2021-07-08,near-bet,2
2021-07-09,galaxy-online,2
2021-07-09,berry-cards,2
2021-07-09,near-bet,1
2021-07-09,pixel-party,2
2021-07-09,near-crowd,75
2021-07-09,berry-club,11
2021-07-09,nft-hiphop,15
2021-07-09,ref-finance,393
2021-07-09,skyward-finance,49
2021-07-09,metamon,12
2021-07-09,3d-corgis,3
2021-07-10,skyward-finance,52
2021-07-10,near-bet,2
2021-07-10,near-crowd,55
2021-07-10,berry-cards,1
2021-07-10,berry-club,11
2021-07-10,metamon,3
2021-07-10,nft-hiphop,1
2021-07-10,pixel-party,4
2021-07-10,galaxy-online,4
2021-07-10,ref-finance,132
2021-07-11,berry-cards,5
2021-07-11,skyward-finance,26
2021-07-11,near-crowd,48
2021-07-11,3d-corgis,2
2021-07-11,pixel-party,4
2021-07-11,galaxy-online,4
2021-07-11,ref-finance,286
2021-07-11,near-bet,2
